Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
6586;WA_A2_AT;140233_58;1.027648;Experiment;started;0
6586;WA_A2_AT;140242_84;10.29369;5_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140242_84;10.29369;Step;completed;0
6586;WA_A2_AT;140248_27;15.7275;5_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140248_27;15.7275;Step;completed;1
6586;WA_A2_AT;140252_00;19.46012;8_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140252_00;19.46012;Step;completed;2
6586;WA_A2_AT;140257_29;24.75132;5_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140257_29;24.75132;Step;completed;3
6586;WA_A2_AT;140303_06;30.51773;5_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140307_40;34.57303;Experiment;started;0
6586;WA_A2_AT;140312_63;39.80777;5_BarYellow;Incorrect placement;0
6586;WA_A2_AT;140316_57;43.74122;5_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140316_57;43.74122;Step;completed;0
6586;WA_A2_AT;140320_51;47.68555;5_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140320_51;47.68555;Step;completed;1
6586;WA_A2_AT;140324_95;52.11764;8_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140324_95;52.11764;Step;completed;2
6586;WA_A2_AT;140329_17;56.33939;5_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140329_17;56.33939;Step;completed;3
6586;WA_A2_AT;140334_04;61.21801;5_BarYellow;Incorrect placement;4
6586;WA_A2_AT;140341_22;68.39741;5_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140345_41;72.25032;Experiment;started;0
6586;WA_A2_AT;140353_24;80.0839;5_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140353_24;80.0839;Step;completed;0
6586;WA_A2_AT;140356_86;83.69545;5_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140356_86;83.69545;Step;completed;1
6586;WA_A2_AT;140400_02;86.8637;8_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140400_02;86.8637;Step;completed;2
6586;WA_A2_AT;140403_73;90.56983;5_BarYellow;Correct placement;n/a
6586;WA_A2_AT;140403_73;90.56983;Step;completed;3
6586;WA_A2_AT;140409_69;96.52615;5_BarYellow;Incorrect placement;4
6586;WA_A2_AT;140416_64;103.4823;5_BarYellow;Incorrect placement;4
6586;WA_A2_AT;140421_44;108.2801;5_BarYellow;Correct placement;n/a
