Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
6539;WF_A2_AT;134450_61;1.024554;Experiment;started;0
6539;WF_A2_AT;134500_24;10.64653;3_ BarYellow;Correct placement;n/a
6539;WF_A2_AT;134500_25;10.64653;Step;completed;0
6539;WF_A2_AT;134504_91;15.32509;3_ BarYellow;Correct placement;n/a
6539;WF_A2_AT;134504_91;15.32509;Step;completed;1
6539;WF_A2_AT;134513_97;24.38123;8_BarYellow;Correct placement;n/a
6539;WF_A2_AT;134513_97;24.38123;Step;completed;2
6539;WF_A2_AT;134523_22;33.63609;8_BarYellow;Incorrect placement;3
6539;WF_A2_AT;134527_08;37.49286;8_BarYellow;Correct placement;n/a
6539;WF_A2_AT;134527_08;37.49286;Step;completed;3
6539;WF_A2_AT;134536_35;46.75839;5_BarYellow;Correct placement;n/a
6539;WF_A2_AT;134540_03;50.16776;Experiment;started;0
6539;WF_A2_AT;134546_48;56.61377;3_ BarYellow;Correct placement;n/a
6539;WF_A2_AT;134546_48;56.61377;Step;completed;0
6539;WF_A2_AT;134550_51;60.64735;3_ BarYellow;Correct placement;n/a
6539;WF_A2_AT;134550_51;60.64735;Step;completed;1
6539;WF_A2_AT;134554_09;64.22515;8_BarYellow;Correct placement;n/a
6539;WF_A2_AT;134554_09;64.22515;Step;completed;2
6539;WF_A2_AT;134558_25;68.38035;8_BarYellow;Incorrect placement;3
6539;WF_A2_AT;134604_48;74.61414;8_BarYellow;Correct placement;n/a
6539;WF_A2_AT;134604_48;74.61414;Step;completed;3
6539;WF_A2_AT;134610_43;80.57458;8_BarYellow;Incorrect placement;4
6539;WF_A2_AT;134616_49;86.62452;5_BarYellow;Incorrect placement;4
6539;WF_A2_AT;134619_81;89.9479;5_BarYellow;Correct placement;n/a
6539;WF_A2_AT;134624_05;93.86961;Experiment;started;0
6539;WF_A2_AT;134628_76;98.58343;3_ BarYellow;Correct placement;n/a
6539;WF_A2_AT;134628_76;98.58343;Step;completed;0
6539;WF_A2_AT;134632_90;102.7261;3_ BarYellow;Correct placement;n/a
6539;WF_A2_AT;134632_90;102.7261;Step;completed;1
6539;WF_A2_AT;134637_59;107.4168;8_BarYellow;Correct placement;n/a
6539;WF_A2_AT;134637_59;107.4168;Step;completed;2
6539;WF_A2_AT;134642_28;112.1038;8_BarYellow;Incorrect placement;3
6539;WF_A2_AT;134645_29;115.1221;8_BarYellow;Correct placement;n/a
6539;WF_A2_AT;134645_29;115.1221;Step;completed;3
6539;WF_A2_AT;134649_70;119.5263;5_BarYellow;Correct placement;n/a
6539;WF_A2_AT;134653_24;122.6689;Experiment;started;0
6539;WF_A2_AT;134657_57;126.9924;3_ BarYellow;Incorrect placement;0
6539;WF_A2_AT;134700_58;130.003;3_ BarYellow;Correct placement;n/a
6539;WF_A2_AT;134700_58;130.003;Step;completed;0
6539;WF_A2_AT;134704_72;134.1477;3_ BarYellow;Correct placement;n/a
6539;WF_A2_AT;134704_73;134.1477;Step;completed;1
6539;WF_A2_AT;134708_71;138.1371;8_BarYellow;Correct placement;n/a
6539;WF_A2_AT;134708_71;138.1371;Step;completed;2
6539;WF_A2_AT;134714_44;143.8613;8_BarYellow;Correct placement;n/a
6539;WF_A2_AT;134714_44;143.8613;Step;completed;3
6539;WF_A2_AT;134718_07;147.4934;5_BarYellow;Incorrect placement;4
6539;WF_A2_AT;134721_54;150.9592;5_BarYellow;Correct placement;n/a
6539;WF_A2_AT;134724_71;153.853;Experiment;started;0
