Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
123;Practice;1;16:06.05;00:15:15020;Experiment;started;0
123;Practice;1;16:06.11;00:20:20887;3_ BarYellow;Correct placement;n/a
123;Practice;1;16:06.11;00:20:20887;Step;completed;0
123;Practice;1;16:06.18;00:28:28253;4_BarYellow;Correct placement;n/a
123;Practice;1;16:06.18;00:28:28253;Step;completed;1
123;Practice;1;16:06.28;00:37:37386;5_BarYellow;Correct placement;n/a
123;Practice;1;16:06.28;00:37:37386;Step;completed;2
123;Practice;1;16:06.31;00:41:41253;6_BarYellow;Correct placement;n/a
123;Practice;1;16:06.31;00:41:41253;Step;completed;3
123;Practice;1;16:06.38;00:47:47920;7_BarYellow;Correct placement;n/a
