Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
6932;WA_A2_AT;130428_85;1.021813;Experiment;started;0
6932;WA_A2_AT;130433_68;5.849266;5_BarYellow;Correct placement;n/a
6932;WA_A2_AT;130433_69;5.849266;Step;completed;0
6932;WA_A2_AT;130438_68;10.84958;5_BarYellow;Correct placement;n/a
6932;WA_A2_AT;130438_68;10.84958;Step;completed;1
6932;WA_A2_AT;130442_40;14.57189;8_BarYellow;Correct placement;n/a
6932;WA_A2_AT;130442_40;14.57189;Step;completed;2
6932;WA_A2_AT;130446_78;18.9498;5_BarYellow;Incorrect placement;3
6932;WA_A2_AT;130455_98;28.14945;5_BarYellow;Correct placement;n/a
6932;WA_A2_AT;130455_98;28.14945;Step;completed;3
6932;WA_A2_AT;130459_29;31.46183;5_BarYellow;Incorrect placement;4
6932;WA_A2_AT;130502_48;34.64936;5_BarYellow;Correct placement;n/a
6932;WA_A2_AT;130505_04;36.97018;Experiment;started;0
6932;WA_A2_AT;130508_31;40.23755;5_BarYellow;Correct placement;n/a
6932;WA_A2_AT;130508_32;40.23755;Step;completed;0
6932;WA_A2_AT;130512_51;44.43742;5_BarYellow;Correct placement;n/a
6932;WA_A2_AT;130512_51;44.43742;Step;completed;1
6932;WA_A2_AT;130516_79;48.71573;8_BarYellow;Correct placement;n/a
6932;WA_A2_AT;130516_79;48.71573;Step;completed;2
6932;WA_A2_AT;130521_79;53.71528;5_BarYellow;Correct placement;n/a
6932;WA_A2_AT;130521_79;53.71528;Step;completed;3
6932;WA_A2_AT;130531_85;63.77118;5_BarYellow;Incorrect placement;4
6932;WA_A2_AT;130539_24;71.15913;5_BarYellow;Correct placement;n/a
