Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
123;Practice;1;16:08.53;00:15:15563;Experiment;started;0
123;Practice;1;16:08.59;00:21:21275;3_ BarYellow;Correct placement;n/a
123;Practice;1;16:08.59;00:21:21275;Step;completed;0
123;Practice;1;16:09.02;00:25:25174;4_BarYellow;Correct placement;n/a
123;Practice;1;16:09.02;00:25:25174;Step;completed;1
123;Practice;1;16:09.08;00:30:30597;5_BarYellow;Correct placement;n/a
123;Practice;1;16:09.08;00:30:30597;Step;completed;2
123;Practice;1;16:09.12;00:34:34596;6_BarYellow;Correct placement;n/a
123;Practice;1;16:09.12;00:34:34596;Step;completed;3
123;Practice;1;16:09.18;00:40:40430;7_BarYellow;Correct placement;n/a
123;WA_A2_AT;1;16:09.24;00:46:46028;Experiment;started;0
123;WA_A2_AT;1;16:09.32;00:54:54618;5_BarYellow;Correct placement;n/a
123;WA_A2_AT;1;16:09.32;00:54:54618;Step;completed;0
123;WA_A2_AT;1;16:09.36;00:58:58517;5_BarYellow;Correct placement;n/a
123;WA_A2_AT;1;16:09.36;00:58:58517;Step;completed;1
123;WA_A2_AT;1;16:09.40;01:01:61740;8_BarYellow;Correct placement;n/a
123;WA_A2_AT;1;16:09.40;01:01:61740;Step;completed;2
123;WA_A2_AT;1;16:09.45;01:07:67283;5_BarYellow;Correct placement;n/a
123;WA_A2_AT;1;16:09.45;01:07:67283;Step;completed;3
123;WA_A2_AT;1;16:09.49;01:10:70828;5_BarYellow;Correct placement;n/a
123;WA_A2_AT;2;16:09.53;01:14:74482;Experiment;started;0
123;WA_A2_AT;2;16:09.56;01:17:77739;5_BarYellow;Correct placement;n/a
123;WA_A2_AT;2;16:09.56;01:17:77739;Step;completed;0
123;WA_A2_AT;2;16:09.59;01:21:81304;5_BarYellow;Correct placement;n/a
123;WA_A2_AT;2;16:09.59;01:21:81304;Step;completed;1
123;WA_A2_AT;2;16:10.04;01:26:86373;8_BarYellow;Correct placement;n/a
123;WA_A2_AT;2;16:10.04;01:26:86373;Step;completed;2
123;WA_A2_AT;2;16:10.08;01:30:90394;5_BarYellow;Correct placement;n/a
123;WA_A2_AT;2;16:10.08;01:30:90394;Step;completed;3
123;WA_A2_AT;2;16:10.13;01:34:94982;5_BarYellow;Incorrect placement;4
123;WA_A2_AT;2;16:10.21;01:42:102416;5_BarYellow;Correct placement;n/a
123;WA_A2_AT;3;16:10.23;01:44:104900;Experiment;started;0
123;WA_A2_AT;3;16:10.25;01:46:106890;5_BarYellow;Correct placement;n/a
123;WA_A2_AT;3;16:10.25;01:46:106890;Step;completed;0
123;WA_A2_AT;3;16:10.29;01:51:111057;5_BarYellow;Correct placement;n/a
123;WA_A2_AT;3;16:10.29;01:51:111057;Step;completed;1
123;WA_A2_AT;3;16:10.32;01:54:114059;8_BarYellow;Correct placement;n/a
123;WA_A2_AT;3;16:10.32;01:54:114059;Step;completed;2
123;WA_A2_AT;3;16:10.37;01:58:118645;5_BarYellow;Correct placement;n/a
123;WA_A2_AT;3;16:10.37;01:58:118645;Step;completed;3
123;WA_A2_AT;3;16:10.40;02:02:122091;5_BarYellow;Correct placement;n/a
