Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
123456;Practice;1;13:46.33;00:18:18655;Experiment;started;0
123456;Practice;1;13:46.45;00:30:30058;3_ BarYellow;Correct placement;n/a
123456;Practice;1;13:46.45;00:30:30058;Step;completed;0
123456;Practice;1;13:46.49;00:34:34481;4_BarYellow;Correct placement;n/a
123456;Practice;1;13:46.49;00:34:34481;Step;completed;1
123456;Practice;1;13:46.52;00:37:37104;5_BarYellow;Correct placement;n/a
123456;Practice;1;13:46.52;00:37:37104;Step;completed;2
123456;Practice;1;13:46.54;00:39:39535;6_BarYellow;Correct placement;n/a
123456;Practice;1;13:46.54;00:39:39535;Step;completed;3
123456;Practice;1;13:46.57;00:42:42112;7_BarYellow;Correct placement;n/a
123456;WA_A2_AT;1;13:47.05;00:50:50226;Experiment;started;0
123456;WA_A2_AT;1;13:47.14;00:59:59161;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;1;13:47.14;00:59:59161;Step;completed;0
123456;WA_A2_AT;1;13:47.18;01:03:63006;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;1;13:47.18;01:03:63006;Step;completed;1
123456;WA_A2_AT;1;13:47.25;01:09:69751;8_BarYellow;Correct placement;n/a
123456;WA_A2_AT;1;13:47.25;01:09:69751;Step;completed;2
123456;WA_A2_AT;1;13:47.28;01:13:73227;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;1;13:47.28;01:13:73227;Step;completed;3
123456;WA_A2_AT;1;13:47.32;01:16:76716;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;2;13:47.38;01:22:82472;Experiment;started;0
123456;WA_A2_AT;2;13:47.41;01:25:85349;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;2;13:47.41;01:25:85349;Step;completed;0
123456;WA_A2_AT;2;13:47.44;01:28:88928;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;2;13:47.44;01:28:88928;Step;completed;1
123456;WA_A2_AT;2;13:47.47;01:32:92038;8_BarYellow;Correct placement;n/a
123456;WA_A2_AT;2;13:47.47;01:32:92038;Step;completed;2
123456;WA_A2_AT;2;13:47.50;01:34:94561;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;2;13:47.50;01:34:94561;Step;completed;3
123456;WA_A2_AT;2;13:47.54;01:38:98794;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;3;13:47.58;01:41:101975;Experiment;started;0
123456;WA_A2_AT;3;13:48.01;01:44:104887;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;3;13:48.01;01:44:104887;Step;completed;0
123456;WA_A2_AT;3;13:48.04;01:48:108753;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;3;13:48.04;01:48:108753;Step;completed;1
123456;WA_A2_AT;3;13:48.08;01:52:112264;8_BarYellow;Correct placement;n/a
123456;WA_A2_AT;3;13:48.08;01:52:112264;Step;completed;2
123456;WA_A2_AT;3;13:48.11;01:55:115676;5_BarYellow;Incorrect placement;3
123456;WA_A2_AT;3;13:48.17;02:01:121498;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;3;13:48.17;02:01:121498;Step;completed;3
123456;WA_A2_AT;3;13:48.21;02:05:125476;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;4;13:48.24;02:08:128446;Experiment;started;0
123456;WA_A2_AT;4;13:48.28;02:11:131926;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;4;13:48.28;02:11:131926;Step;completed;0
123456;WA_A2_AT;4;13:48.33;02:17:137204;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;4;13:48.33;02:17:137204;Step;completed;1
123456;WA_A2_AT;4;13:48.37;02:20:140715;8_BarYellow;Correct placement;n/a
123456;WA_A2_AT;4;13:48.37;02:20:140715;Step;completed;2
123456;WA_A2_AT;4;13:48.39;02:23:143314;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;4;13:48.39;02:23:143314;Step;completed;3
123456;WA_A2_AT;4;13:48.43;02:27:147315;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;5;13:48.46;02:29:149731;Experiment;started;0
123456;WA_A2_AT;5;13:48.49;02:32:152865;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;5;13:48.49;02:32:152865;Step;completed;0
123456;WA_A2_AT;5;13:48.52;02:36:156088;5_BarYellow;Incorrect placement;1
123456;WA_A2_AT;5;13:48.55;02:39:159220;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;5;13:48.55;02:39:159220;Step;completed;1
123456;WA_A2_AT;5;13:48.59;02:42:162843;8_BarYellow;Correct placement;n/a
123456;WA_A2_AT;5;13:48.59;02:42:162843;Step;completed;2
123456;WA_A2_AT;5;13:49.03;02:46:166410;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;5;13:49.03;02:46:166410;Step;completed;3
123456;WA_A2_AT;5;13:49.06;02:50:170288;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;6;13:49.12;02:55:175461;Experiment;started;0
123456;WA_A2_AT;6;13:49.16;02:59:179863;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;6;13:49.16;02:59:179863;Step;completed;0
123456;WA_A2_AT;6;13:49.21;03:04:184662;5_BarYellow;Incorrect placement;1
123456;WA_A2_AT;6;13:49.26;03:09:189530;5_BarYellow;Correct placement;n/a
123456;WA_A2_AT;6;13:49.26;03:09:189530;Step;completed;1
