Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
4515;W1A2;154729_26;1.024149;Experiment;started;0
4515;W1A2;154732_65;4.399293;7_BarYellow;Correct placement;n/a
4515;W1A2;154732_65;4.399293;Step;completed;0
4515;W1A2;154739_18;10.93912;7_BarYellow;Correct placement;n/a
4515;W1A2;154739_18;10.93912;Step;completed;1
4515;W1A2;154745_31;17.06401;8_BarYellow;Incorrect placement;2
4515;W1A2;154752_18;23.93498;7_BarYellow;Correct placement;n/a
4515;W1A2;154752_18;23.93498;Step;completed;2
