Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
307;WE_A2_AT;1;15:43.50;00:01:1023;Experiment;started;0
307;WE_A2_AT;1;15:43.56;00:06:6602;8_BarYellow;Correct placement;n/a
307;WE_A2_AT;1;15:43.56;00:06:6602;Step;completed;0
307;WE_A2_AT;1;15:44.01;00:11:11468;8_BarYellow;Incorrect placement;1
307;WE_A2_AT;1;15:44.04;00:14:14780;8_BarYellow;Correct placement;n/a
307;WE_A2_AT;1;15:44.04;00:14:14780;Step;completed;1
307;WE_A2_AT;1;15:44.13;00:23:23412;8_BarYellow;Correct placement;n/a
307;WE_A2_AT;1;15:44.13;00:23:23412;Step;completed;2
307;WE_A2_AT;1;15:44.25;00:35:35824;8_BarYellow;Correct placement;n/a
307;WE_A2_AT;1;15:44.25;00:35:35824;Step;completed;3
307;WE_A2_AT;1;15:44.32;00:42:42332;8_BarYellow;Correct placement;n/a
307;WE_A2_AT;2;15:44.35;00:45:45528;Experiment;started;0
