Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
9817;WA_A2_AT;122529_31;1.035676;Experiment;started;0
9817;WA_A2_AT;122549_66;21.37681;5_BarYellow;Correct placement;n/a
9817;WA_A2_AT;122549_66;21.37681;Step;completed;0
9817;WA_A2_AT;122557_11;28.84282;5_BarYellow;Correct placement;n/a
9817;WA_A2_AT;122557_11;28.84282;Step;completed;1
9817;WA_A2_AT;122611_27;43.00887;8_BarYellow;Correct placement;n/a
9817;WA_A2_AT;122611_27;43.00887;Step;completed;2
9817;WA_A2_AT;122629_62;61.35436;5_BarYellow;Correct placement;n/a
9817;WA_A2_AT;122629_62;61.35436;Step;completed;3
9817;WA_A2_AT;122642_32;74.05445;5_BarYellow;Correct placement;n/a
9817;WA_A2_AT;122648_17;79.63757;Experiment;started;0
9817;WA_A2_AT;122653_43;84.89471;5_BarYellow;Incorrect placement;0
9817;WA_A2_AT;122658_13;89.5945;5_BarYellow;Correct placement;n/a
9817;WA_A2_AT;122658_13;89.5945;Step;completed;0
9817;WA_A2_AT;122701_42;92.8829;5_BarYellow;Correct placement;n/a
9817;WA_A2_AT;122701_42;92.8829;Step;completed;1
9817;WA_A2_AT;122710_00;101.4611;8_BarYellow;Correct placement;n/a
9817;WA_A2_AT;122710_00;101.4611;Step;completed;2
9817;WA_A2_AT;122717_65;109.116;5_BarYellow;Correct placement;n/a
9817;WA_A2_AT;122717_65;109.116;Step;completed;3
9817;WA_A2_AT;122719_61;111.0724;3_ BarYellow;Incorrect placement;4
9817;WA_A2_AT;122733_64;125.1059;5_BarYellow;Correct placement;n/a
9817;WA_A2_AT;122736_91;128.0477;Experiment;started;0
9817;WA_A2_AT;122741_94;133.0713;5_BarYellow;Incorrect placement;0
