Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
837;Practice;121412_03;1.0261;Experiment;started;0
837;Practice;121418_39;7.36824;3_ BarYellow;Correct placement;n/a
837;Practice;121418_39;7.36824;Step;completed;0
837;Practice;121422_40;11.39007;4_BarYellow;Correct placement;n/a
837;Practice;121422_40;11.39007;Step;completed;1
837;Practice;121429_87;18.85789;5_BarYellow;Correct placement;n/a
837;Practice;121429_87;18.85789;Step;completed;2
837;Practice;121433_68;22.67031;6_BarYellow;Correct placement;n/a
837;Practice;121433_68;22.67031;Step;completed;3
837;Practice;121437_46;26.4459;7_BarYellow;Correct placement;n/a
837;Practice;121443_63;32.39574;Experiment;started;0
