Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
2703;WC_A2_AT;132657_06;1.020674;Experiment;started;0
2703;WC_A2_AT;132707_56;11.51414;3_ BarYellow;Correct placement;n/a
2703;WC_A2_AT;132707_56;11.51414;Step;completed;0
2703;WC_A2_AT;132712_13;16.09231;3_ BarYellow;Correct placement;n/a
2703;WC_A2_AT;132712_13;16.09231;Step;completed;1
2703;WC_A2_AT;132716_80;20.76013;3_ BarYellow;Correct placement;n/a
2703;WC_A2_AT;132716_80;20.76013;Step;completed;2
2703;WC_A2_AT;132734_78;38.73425;5_BarYellow;Incorrect placement;3
2703;WC_A2_AT;132742_84;46.79799;5_BarYellow;Incorrect placement;3
2703;WC_A2_AT;132746_86;50.81827;5_BarYellow;Correct placement;n/a
2703;WC_A2_AT;132746_86;50.81827;Step;completed;3
2703;WC_A2_AT;132803_90;67.8596;5_BarYellow;Incorrect placement;4
2703;WC_A2_AT;132813_48;77.4386;5_BarYellow;Correct placement;n/a
