Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
269;sceneName;n/a;n/a;1;13:27.58;00:01:1030;Experiment;started;0
269;sceneName;n/a;n/a;1;13:28.41;00:43:43908;5_BarYellow;Correct placement;0
269;sceneName;n/a;n/a;1;13:28.51;00:54:54375;5_BarYellow;Incorrect placement;1
269;sceneName;n/a;n/a;1;13:29.00;01:02:62731;5_BarYellow;Correct placement;1
269;sceneName;n/a;n/a;1;13:29.19;01:22:82064;8_BarBlue;Correct placement;2
269;sceneName;n/a;n/a;1;13:29.36;01:38:98898;5_BarYellow;Incorrect placement;3
269;sceneName;n/a;n/a;1;13:30.03;02:06:126108;5_BarYellow;Correct placement;3
269;sceneName;n/a;n/a;1;13:30.40;02:42:162830;5_BarYellow;Correct placement;4
269;sceneName;n/a;n/a;1;13:30.40;02:42:162830;Trial;complete;4
269;sceneName;n/a;n/a;2;13:30.44;02:46:166666;Experiment;started;0
269;sceneName;n/a;n/a;2;13:31.00;03:02:182991;5_BarYellow;Correct placement;0
269;sceneName;n/a;n/a;2;13:31.09;03:11:191423;5_BarYellow;Incorrect placement;1
269;sceneName;n/a;n/a;2;13:31.17;03:19:199568;5_BarYellow;Correct placement;1
269;sceneName;n/a;n/a;2;13:31.47;03:49:229723;8_BarBlue;Correct placement;2
269;sceneName;n/a;n/a;2;13:31.57;03:59:239811;5_BarYellow;Incorrect placement;3
269;sceneName;n/a;n/a;2;13:32.04;04:06:246378;5_BarYellow;Correct placement;3
269;sceneName;n/a;n/a;2;13:32.16;04:18:258411;5_BarYellow;Incorrect placement;4
269;sceneName;n/a;n/a;2;13:32.32;04:34:274345;5_BarYellow;Correct placement;4
269;sceneName;n/a;n/a;2;13:32.32;04:34:274345;Trial;complete;4
269;sceneName;n/a;n/a;3;13:32.35;04:37:277776;Experiment;started;0
269;sceneName;n/a;n/a;3;13:32.43;04:46:286057;5_BarYellow;Correct placement;0
269;sceneName;n/a;n/a;3;13:32.49;04:52:292077;5_BarYellow;Correct placement;1
269;sceneName;n/a;n/a;3;13:33.01;05:03:303910;8_BarYellow;Correct placement;2
269;sceneName;n/a;n/a;3;13:33.13;05:15:315411;5_BarYellow;Correct placement;3
269;sceneName;n/a;n/a;3;13:33.20;05:22:322398;5_BarYellow;Correct placement;4
269;sceneName;n/a;n/a;3;13:33.20;05:22:322398;Trial;complete;4
269;sceneName;n/a;n/a;4;13:33.23;05:25:325731;Experiment;started;0
269;sceneName;n/a;n/a;4;13:33.31;05:33:333689;5_BarYellow;Correct placement;0
269;sceneName;n/a;n/a;4;13:33.37;05:39:339733;5_BarYellow;Correct placement;1
269;sceneName;n/a;n/a;4;13:33.44;05:46:346012;8_BarYellow;Correct placement;2
269;sceneName;n/a;n/a;4;13:33.52;05:53:353977;5_BarYellow;Correct placement;3
269;sceneName;n/a;n/a;4;13:33.59;06:00:360989;5_BarYellow;Correct placement;4
269;sceneName;n/a;n/a;4;13:33.59;06:00:360989;Trial;complete;4
269;sceneName;n/a;n/a;5;13:34.02;06:03:363983;Experiment;started;0
269;sceneName;n/a;n/a;5;13:34.09;06:11:371417;5_BarYellow;Correct placement;0
269;sceneName;n/a;n/a;5;13:34.15;06:17:377028;5_BarYellow;Correct placement;1
269;sceneName;n/a;n/a;5;13:34.20;06:21:381918;8_BarYellow;Correct placement;2
269;sceneName;n/a;n/a;5;13:34.26;06:28:388629;5_BarYellow;Incorrect placement;3
269;sceneName;n/a;n/a;5;13:34.39;06:41:401429;5_BarYellow;Incorrect placement;3
269;sceneName;n/a;n/a;5;13:34.52;06:54:414363;5_BarYellow;Correct placement;3
269;sceneName;n/a;n/a;5;13:35.04;07:05:425907;5_BarYellow;Correct placement;4
269;sceneName;n/a;n/a;5;13:35.04;07:05:425907;Trial;complete;4
269;sceneName;n/a;n/a;6;13:35.07;07:08:428763;Experiment;started;0
269;sceneName;n/a;n/a;6;13:35.14;07:16:436196;5_BarYellow;Correct placement;0
269;sceneName;n/a;n/a;6;13:35.20;07:21:441674;5_BarYellow;Incorrect placement;1
269;sceneName;n/a;n/a;6;13:35.28;07:29:449896;5_BarYellow;Correct placement;1
269;sceneName;n/a;n/a;6;13:35.38;07:39:459865;8_BarYellow;Correct placement;2
269;sceneName;n/a;n/a;6;13:35.43;07:45:465063;5_BarYellow;Incorrect placement;3
269;sceneName;n/a;n/a;6;13:35.50;07:51:471585;5_BarYellow;Incorrect placement;3
269;sceneName;n/a;n/a;6;13:35.56;07:58:478140;5_BarYellow;Incorrect placement;3
269;sceneName;n/a;n/a;6;13:36.04;08:06:486408;5_BarYellow;Correct placement;3
269;sceneName;n/a;n/a;6;13:36.14;08:15:495864;5_BarYellow;Correct placement;4
269;sceneName;n/a;n/a;6;13:36.14;08:15:495864;Trial;complete;4
269;sceneName;n/a;n/a;8;13:36.21;08:22:502761;Experiment;started;0
269;sceneName;n/a;n/a;8;13:36.27;08:28:508707;5_BarYellow;Correct placement;0
269;sceneName;n/a;n/a;8;13:36.33;08:34:514407;5_BarYellow;Correct placement;1
269;sceneName;n/a;n/a;8;13:36.38;08:39:519518;8_BarYellow;Inorrect placement;n/a
269;sceneName;n/a;n/a;8;13:36.43;08:44:524584;5_BarYellow;Inorrect placement;n/a
269;sceneName;n/a;n/a;8;13:36.48;08:49:529162;5_BarYellow;Correct placement;4
269;sceneName;n/a;n/a;8;13:36.48;08:49:529162;Trial;complete;4
