Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
807;WH_A2_AT;8;15:09.32;00:01:1021;Experiment;started;0
807;WH_A2_AT;8;15:09.35;00:03:3442;Step;completed;0
807;WH_A2_AT;8;15:09.35;00:03:3442;8_BarYellow;Inorrect placement;n/a
807;WH_A2_AT;8;15:09.37;00:06:6199;Step;completed;1
807;WH_A2_AT;8;15:09.37;00:06:6199;8_BarYellow;Inorrect placement;n/a
807;WH_A2_AT;8;15:09.40;00:08:8619;Step;completed;2
807;WH_A2_AT;8;15:09.40;00:08:8619;8_BarYellow;Inorrect placement;n/a
807;WH_A2_AT;8;15:09.43;00:11:11932;Step;completed;3
807;WH_A2_AT;8;15:09.43;00:11:11932;8_BarYellow;Inorrect placement;n/a
807;WH_A2_AT;8;15:09.46;00:15:15287;8_BarYellow;Inorrect placement;n/a
