Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
3333;Practice;122353_91;10.7566;Experiment;started;0
3333;Practice;122356_94;13.78006;3_ BarYellow;Correct placement;n/a
3333;Practice;122356_94;13.78006;Step;completed;0
3333;Practice;122358_80;15.6468;4_BarYellow;Correct placement;n/a
3333;Practice;122358_80;15.6468;Step;completed;1
3333;Practice;122401_68;18.52484;5_BarYellow;Incorrect placement;2
3333;Practice;122404_78;21.62526;5_BarYellow;Correct placement;n/a
3333;Practice;122404_78;21.62526;Step;completed;2
3333;Practice;122407_86;24.70284;6_BarYellow;Correct placement;n/a
3333;Practice;122407_86;24.70284;Step;completed;3
3333;Practice;122410_31;27.15923;7_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122419_83;36.29191;Experiment;started;0
3333;WA_A2_AT;122428_37;44.82661;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122428_37;44.82661;Step;completed;0
3333;WA_A2_AT;122432_07;48.52572;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122432_07;48.52572;Step;completed;1
3333;WA_A2_AT;122442_35;58.8031;8_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122442_35;58.8031;Step;completed;2
3333;WA_A2_AT;122446_38;62.83671;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122446_38;62.83671;Step;completed;3
3333;WA_A2_AT;122450_54;67.00378;5_BarYellow;Incorrect placement;4
3333;WA_A2_AT;122453_76;70.21505;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122457_65;73.89197;Experiment;started;0
3333;WA_A2_AT;122504_90;81.13704;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122504_90;81.13704;Step;completed;0
3333;WA_A2_AT;122508_12;84.36018;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122508_12;84.36018;Step;completed;1
3333;WA_A2_AT;122511_70;87.93786;8_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122511_70;87.93786;Step;completed;2
3333;WA_A2_AT;122516_03;92.27149;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122516_04;92.27149;Step;completed;3
3333;WA_A2_AT;122519_94;96.18304;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122522_92;98.93488;Experiment;started;0
3333;WA_A2_AT;122527_28;103.2916;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122527_28;103.2916;Step;completed;0
3333;WA_A2_AT;122531_19;107.2035;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122531_19;107.2035;Step;completed;1
3333;WA_A2_AT;122534_19;110.2038;8_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122534_19;110.2038;Step;completed;2
3333;WA_A2_AT;122537_72;113.7379;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122537_72;113.7379;Step;completed;3
3333;WA_A2_AT;122541_81;117.8241;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122544_39;120.184;Experiment;started;0
3333;WA_A2_AT;122547_05;122.8509;5_BarYellow;Incorrect placement;0
3333;WA_A2_AT;122550_88;126.6738;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122550_88;126.6738;Step;completed;0
3333;WA_A2_AT;122554_17;129.963;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122554_17;129.963;Step;completed;1
3333;WA_A2_AT;122557_40;133.197;8_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122557_40;133.197;Step;completed;2
3333;WA_A2_AT;122559_79;135.5848;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122559_79;135.5848;Step;completed;3
3333;WA_A2_AT;122603_40;139.1967;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122606_32;141.8917;Experiment;started;0
3333;WA_A2_AT;122609_35;144.9163;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122609_35;144.9163;Step;completed;0
3333;WA_A2_AT;122612_66;148.2267;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122612_66;148.2267;Step;completed;1
3333;WA_A2_AT;122615_66;151.2265;8_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122615_66;151.2265;Step;completed;2
3333;WA_A2_AT;122618_00;153.5706;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122618_00;153.5706;Step;completed;3
3333;WA_A2_AT;122621_67;157.2386;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122627_19;162.5411;Experiment;started;0
3333;WA_A2_AT;122630_61;165.9644;5_BarYellow;Incorrect placement;0
3333;WA_A2_AT;122633_68;169.0316;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122633_68;169.0316;Step;completed;0
3333;WA_A2_AT;122637_06;172.4088;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122637_06;172.4088;Step;completed;1
3333;WA_A2_AT;122639_72;175.0771;8_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122639_72;175.0771;Step;completed;2
3333;WA_A2_AT;122642_30;177.6544;5_BarYellow;Incorrect placement;3
3333;WA_A2_AT;122645_50;180.8538;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122645_50;180.8538;Step;completed;3
3333;WA_A2_AT;122649_10;184.4538;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122656_45;191.3021;Experiment;started;0
3333;WA_A2_AT;122700_75;195.5927;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122700_75;195.5927;Step;completed;0
3333;WA_A2_AT;122704_29;199.1373;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122704_29;199.1373;Step;completed;1
3333;WA_A2_AT;122708_34;203.1928;8_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122708_35;203.1928;Step;completed;2
3333;WA_A2_AT;122710_89;205.7365;5_BarYellow;Correct placement;n/a
3333;WA_A2_AT;122710_89;205.7365;Step;completed;3
3333;WA_A2_AT;122715_47;210.3154;5_BarYellow;Correct placement;n/a
