Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
896;sceneName;n/a;n/a;1;10:04.13;00:01:1025;Experiment;started;0
896;sceneName;n/a;n/a;1;10:05.00;00:48:48183;5_BarYellow;Correct placement;n/a
896;sceneName;n/a;n/a;1;10:05.03;00:50:50438;5_BarYellow;Correct placement;n/a
896;sceneName;n/a;n/a;1;10:05.06;00:53:53503;7_BarYellow;Incorrect placement;2
896;sceneName;n/a;n/a;1;10:05.09;00:56:56994;7_BarYellow;Incorrect placement;2
896;sceneName;n/a;n/a;1;10:05.17;01:04:64482;5_BarGreen;Incorrect placement;2
896;sceneName;n/a;n/a;1;10:05.20;01:07:67660;7_BarYellow;Incorrect placement;2
