Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
3107;WE_A2_AT;134453_14;1.024799;Experiment;started;0
3107;WE_A2_AT;134500_72;8.586838;8_BarYellow;Correct placement;n/a
3107;WE_A2_AT;134500_72;8.586838;Step;completed;0
3107;WE_A2_AT;134507_51;15.39468;8_BarYellow;Correct placement;n/a
3107;WE_A2_AT;134507_51;15.39468;Step;completed;1
3107;WE_A2_AT;134517_26;25.13824;8_BarYellow;Correct placement;n/a
3107;WE_A2_AT;134517_26;25.13824;Step;completed;2
3107;WE_A2_AT;134528_45;36.33168;8_BarYellow;Correct placement;n/a
3107;WE_A2_AT;134528_45;36.33168;Step;completed;3
3107;WE_A2_AT;134554_20;62.08208;8_BarYellow;Correct placement;n/a
3107;WE_A2_AT;134559_95;67.55522;Experiment;started;0
