Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
4618;WA_A2_AT;135324_50;1.025164;Experiment;started;0
4618;WA_A2_AT;135336_65;13.16048;5_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135336_66;13.16048;Step;completed;0
4618;WA_A2_AT;135340_84;17.35998;5_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135340_84;17.35998;Step;completed;1
4618;WA_A2_AT;135344_10;20.62576;8_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135344_11;20.62576;Step;completed;2
4618;WA_A2_AT;135347_64;24.16072;5_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135347_64;24.16072;Step;completed;3
4618;WA_A2_AT;135351_48;28.0043;5_BarYellow;Incorrect placement;4
4618;WA_A2_AT;135358_14;34.66034;5_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135402_16;38.40911;Experiment;started;0
4618;WA_A2_AT;135406_90;43.15461;5_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135406_91;43.15461;Step;completed;0
4618;WA_A2_AT;135410_36;46.61129;5_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135410_36;46.61129;Step;completed;1
4618;WA_A2_AT;135417_45;53.69913;8_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135417_45;53.69913;Step;completed;2
4618;WA_A2_AT;135422_86;59.11126;5_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135422_86;59.11126;Step;completed;3
4618;WA_A2_AT;135426_74;62.98883;5_BarYellow;Incorrect placement;4
4618;WA_A2_AT;135430_65;66.89923;5_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135434_47;70.34484;Experiment;started;0
4618;WA_A2_AT;135440_83;76.7017;5_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135440_83;76.7017;Step;completed;0
4618;WA_A2_AT;135444_22;80.09018;5_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135444_22;80.09018;Step;completed;1
4618;WA_A2_AT;135449_03;84.90162;8_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135449_03;84.90162;Step;completed;2
4618;WA_A2_AT;135454_90;90.7796;5_BarYellow;Incorrect placement;3
4618;WA_A2_AT;135458_40;94.28062;5_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135458_41;94.28062;Step;completed;3
4618;WA_A2_AT;135501_72;97.58971;5_BarYellow;Correct placement;n/a
4618;WA_A2_AT;135505_40;101.0013;Experiment;started;0
