Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
1087;WA_A2_AT;133222_19;1.020725;Experiment;started;0
1087;WA_A2_AT;133306_35;42.12838;5_BarYellow;Correct placement;n/a
1087;WA_A2_AT;133306_35;42.12838;Step;completed;0
1087;WA_A2_AT;133311_84;47.65178;5_BarYellow;Incorrect placement;1
1087;WA_A2_AT;133314_99;50.79393;5_BarYellow;Correct placement;n/a
1087;WA_A2_AT;133314_99;50.79393;Step;completed;1
1087;WA_A2_AT;133322_28;58.08939;6_BarYellow;Incorrect placement;2
1087;WA_A2_AT;133335_10;70.90973;8_BarYellow;Correct placement;n/a
1087;WA_A2_AT;133335_10;70.90973;Step;completed;2
1087;WA_A2_AT;133349_28;85.08691;6_BarYellow;Incorrect placement;3
1087;WA_A2_AT;133401_00;96.80411;5_BarYellow;Correct placement;n/a
1087;WA_A2_AT;133401_00;96.80411;Step;completed;3
1087;WA_A2_AT;133405_01;100.8148;5_BarYellow;Correct placement;n/a
