Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
3088;WE_A2_AT;095124_56;1.029959;Experiment;started;0
3088;WE_A2_AT;095136_37;12.82146;8_BarYellow;Correct placement;n/a
3088;WE_A2_AT;095136_37;12.82146;Step;completed;0
3088;WE_A2_AT;095144_84;21.31018;8_BarYellow;Correct placement;n/a
3088;WE_A2_AT;095144_84;21.31018;Step;completed;1
3088;WE_A2_AT;095205_35;41.82115;7_BarYellow;Incorrect placement;2
3088;WE_A2_AT;095214_63;51.0991;8_BarYellow;Correct placement;n/a
3088;WE_A2_AT;095214_63;51.0991;Step;completed;2
3088;WE_A2_AT;095223_52;59.98808;8_BarYellow;Correct placement;n/a
3088;WE_A2_AT;095223_52;59.98808;Step;completed;3
3088;WE_A2_AT;095253_15;89.6209;8_BarYellow;Correct placement;n/a
