Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
8561;WF_A2_AT;122439_10;1.025441;Experiment;started;0
8561;WF_A2_AT;122503_89;25.8067;3_ BarYellow;Incorrect placement;0
8561;WF_A2_AT;122511_24;33.14705;3_ BarYellow;Correct placement;n/a
8561;WF_A2_AT;122511_24;33.14705;Step;completed;0
8561;WF_A2_AT;122514_91;36.82261;3_ BarYellow;Correct placement;n/a
8561;WF_A2_AT;122514_91;36.82261;Step;completed;1
8561;WF_A2_AT;122518_77;40.68766;4_BarYellow;Incorrect placement;2
8561;WF_A2_AT;122526_02;47.93893;8_BarYellow;Correct placement;n/a
8561;WF_A2_AT;122526_02;47.93893;Step;completed;2
8561;WF_A2_AT;122531_39;53.3068;6_BarYellow;Incorrect placement;3
8561;WF_A2_AT;122540_77;62.68453;8_BarYellow;Correct placement;n/a
8561;WF_A2_AT;122540_77;62.68453;Step;completed;3
8561;WF_A2_AT;122545_03;66.9502;7_BarYellow;Incorrect placement;4
8561;WF_A2_AT;122550_45;72.36287;5_BarYellow;Correct placement;n/a
