Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
8218;WA_A2_AT;135000_69;1.024112;Experiment;started;0
8218;WA_A2_AT;135005_14;5.472268;5_BarYellow;Correct placement;n/a
8218;WA_A2_AT;135005_14;5.472268;Step;completed;0
8218;WA_A2_AT;135009_36;9.7041;5_BarYellow;Correct placement;n/a
8218;WA_A2_AT;135009_36;9.7041;Step;completed;1
8218;WA_A2_AT;135015_79;16.14217;8_BarYellow;Correct placement;n/a
8218;WA_A2_AT;135015_79;16.14217;Step;completed;2
8218;WA_A2_AT;135022_84;23.19287;5_BarYellow;Correct placement;n/a
8218;WA_A2_AT;135022_84;23.19287;Step;completed;3
8218;WA_A2_AT;135026_41;26.75723;5_BarYellow;Correct placement;n/a
8218;WA_A2_AT;135029_81;29.91057;Experiment;started;0
8218;WA_A2_AT;135034_45;34.54543;5_BarYellow;Correct placement;n/a
8218;WA_A2_AT;135034_45;34.54543;Step;completed;0
8218;WA_A2_AT;135037_08;37.17386;5_BarYellow;Incorrect placement;1
8218;WA_A2_AT;135041_87;41.96366;5_BarYellow;Correct placement;n/a
8218;WA_A2_AT;135041_87;41.96366;Step;completed;1
8218;WA_A2_AT;135047_78;47.87718;8_BarYellow;Incorrect placement;2
