Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
9661;WA_A2_AT;125855_77;1.040562;Experiment;started;0
9661;WA_A2_AT;125900_33;5.609763;5_BarYellow;Incorrect placement;0
9661;WA_A2_AT;125930_70;35.36778;5_BarYellow;Correct placement;n/a
9661;WA_A2_AT;125930_70;35.36778;Step;completed;0
9661;WA_A2_AT;125937_96;42.64418;5_BarYellow;Correct placement;n/a
9661;WA_A2_AT;125937_96;42.64418;Step;completed;1
9661;WA_A2_AT;125945_14;49.82217;8_BarYellow;Incorrect placement;2
9661;WA_A2_AT;130011_37;76.05532;8_BarYellow;Correct placement;n/a
9661;WA_A2_AT;130011_37;76.05532;Step;completed;2
9661;WA_A2_AT;130023_14;87.82137;5_BarYellow;Correct placement;n/a
9661;WA_A2_AT;130023_14;87.82137;Step;completed;3
9661;WA_A2_AT;130026_87;91.55559;5_BarYellow;Incorrect placement;4
9661;WA_A2_AT;130031_37;96.05637;5_BarYellow;Incorrect placement;4
9661;WA_A2_AT;130035_04;99.7217;5_BarYellow;Correct placement;n/a
9661;WA_A2_AT;130038_79;103.1806;Experiment;started;0
9661;WA_A2_AT;130043_40;107.7939;5_BarYellow;Correct placement;n/a
9661;WA_A2_AT;130043_40;107.7939;Step;completed;0
9661;WA_A2_AT;130046_63;111.0158;5_BarYellow;Correct placement;n/a
9661;WA_A2_AT;130046_63;111.0158;Step;completed;1
9661;WA_A2_AT;130051_90;116.2934;8_BarYellow;Correct placement;n/a
9661;WA_A2_AT;130051_90;116.2934;Step;completed;2
9661;WA_A2_AT;130058_63;123.0149;5_BarYellow;Correct placement;n/a
9661;WA_A2_AT;130058_63;123.0149;Step;completed;3
