Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
3185;WE_A2_AT;100119_97;1.029731;Experiment;started;0
3185;WE_A2_AT;100132_27;13.31417;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100132_28;13.31417;Step;completed;0
3185;WE_A2_AT;100137_10;18.14792;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100137_10;18.14792;Step;completed;1
3185;WE_A2_AT;100158_48;39.53316;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100158_48;39.53316;Step;completed;2
3185;WE_A2_AT;100208_15;49.19995;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100208_15;49.19995;Step;completed;3
3185;WE_A2_AT;100222_23;63.27964;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100225_78;66.55531;Experiment;started;0
3185;WE_A2_AT;100229_81;70.57639;8_BarYellow;Incorrect placement;0
3185;WE_A2_AT;100233_87;74.64156;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100233_87;74.64156;Step;completed;0
3185;WE_A2_AT;100240_96;81.74282;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100240_97;81.74282;Step;completed;1
3185;WE_A2_AT;100302_36;103.1327;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100302_36;103.1327;Step;completed;2
3185;WE_A2_AT;100313_12;113.8917;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100313_12;113.8917;Step;completed;3
3185;WE_A2_AT;100321_11;121.878;8_BarYellow;Incorrect placement;4
3185;WE_A2_AT;100324_47;125.2406;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100328_62;128.9861;Experiment;started;0
3185;WE_A2_AT;100331_44;131.8048;8_BarYellow;Incorrect placement;0
3185;WE_A2_AT;100334_88;135.2465;8_BarYellow;Incorrect placement;0
3185;WE_A2_AT;100338_25;138.6102;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100338_25;138.6102;Step;completed;0
3185;WE_A2_AT;100343_26;143.6226;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100343_26;143.6226;Step;completed;1
3185;WE_A2_AT;100348_32;148.6795;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100348_32;148.6795;Step;completed;2
3185;WE_A2_AT;100353_85;154.215;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100353_85;154.215;Step;completed;3
3185;WE_A2_AT;100401_67;162.0319;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100405_02;165.0766;Experiment;started;0
3185;WE_A2_AT;100409_74;169.7997;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100409_75;169.7997;Step;completed;0
3185;WE_A2_AT;100414_31;174.3657;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100414_31;174.3657;Step;completed;1
3185;WE_A2_AT;100421_68;181.7444;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100421_68;181.7444;Step;completed;2
3185;WE_A2_AT;100427_27;187.3201;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100427_27;187.3201;Step;completed;3
3185;WE_A2_AT;100432_10;192.1565;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100435_71;195.4651;Experiment;started;0
3185;WE_A2_AT;100438_77;198.5291;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100438_77;198.5291;Step;completed;0
3185;WE_A2_AT;100451_45;211.2096;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100451_45;211.2096;Step;completed;1
3185;WE_A2_AT;100456_85;216.6071;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100456_85;216.6071;Step;completed;2
3185;WE_A2_AT;100501_32;221.0732;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100501_32;221.0732;Step;completed;3
3185;WE_A2_AT;100506_13;225.8857;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100508_87;228.3103;Experiment;started;0
3185;WE_A2_AT;100512_11;231.5525;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100512_11;231.5525;Step;completed;0
3185;WE_A2_AT;100515_38;234.8266;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100515_38;234.8266;Step;completed;1
3185;WE_A2_AT;100521_46;240.899;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100521_46;240.899;Step;completed;2
3185;WE_A2_AT;100525_90;245.3424;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100525_90;245.3424;Step;completed;3
3185;WE_A2_AT;100530_32;249.7635;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100533_26;252.3797;Experiment;started;0
3185;WE_A2_AT;100537_06;256.1767;8_BarYellow;Incorrect placement;0
3185;WE_A2_AT;100540_86;259.9747;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100540_86;259.9747;Step;completed;0
3185;WE_A2_AT;100544_69;263.8079;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100544_69;263.8079;Step;completed;1
3185;WE_A2_AT;100549_85;268.9649;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100549_85;268.9649;Step;completed;2
3185;WE_A2_AT;100554_57;273.687;8_BarYellow;Incorrect placement;3
3185;WE_A2_AT;100557_71;276.832;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100557_71;276.832;Step;completed;3
3185;WE_A2_AT;100602_41;281.5268;8_BarYellow;Correct placement;n/a
3185;WE_A2_AT;100605_99;284.4313;Experiment;started;0
