Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
9786;WE_A2_AT;101226_13;1.026778;Experiment;started;0
9786;WE_A2_AT;101235_35;10.23848;8_BarYellow;Incorrect placement;0
9786;WE_A2_AT;101238_96;13.84661;8_BarYellow;Incorrect placement;0
9786;WE_A2_AT;101242_86;17.7436;8_BarYellow;Correct placement;n/a
9786;WE_A2_AT;101242_86;17.7436;Step;completed;0
9786;WE_A2_AT;101247_37;22.25608;8_BarYellow;Incorrect placement;1
9786;WE_A2_AT;101251_15;26.03176;8_BarYellow;Correct placement;n/a
9786;WE_A2_AT;101251_15;26.03176;Step;completed;1
9786;WE_A2_AT;101256_06;30.94401;8_BarYellow;Correct placement;n/a
9786;WE_A2_AT;101256_06;30.94401;Step;completed;2
9786;WE_A2_AT;101300_59;35.47612;8_BarYellow;Correct placement;n/a
9786;WE_A2_AT;101300_59;35.47612;Step;completed;3
9786;WE_A2_AT;101305_51;40.39993;8_BarYellow;Correct placement;n/a
9786;WE_A2_AT;101308_77;43.38549;Experiment;started;0
