Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
6323;WD_A2_AT;133424_06;1.022648;Experiment;started;0
6323;WD_A2_AT;133436_74;13.69844;7_BarYellow;Correct placement;n/a
6323;WD_A2_AT;133436_74;13.69844;Step;completed;0
6323;WD_A2_AT;133443_61;20.57167;7_BarYellow;Correct placement;n/a
6323;WD_A2_AT;133443_61;20.57167;Step;completed;1
6323;WD_A2_AT;133448_17;25.13651;7_BarYellow;Correct placement;n/a
6323;WD_A2_AT;133448_18;25.13651;Step;completed;2
6323;WD_A2_AT;133506_61;43.56916;6_BarYellow;Correct placement;n/a
6323;WD_A2_AT;133506_61;43.56916;Step;completed;3
6323;WD_A2_AT;133522_93;59.88642;6_BarYellow;Correct placement;n/a
