Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
360;WH_A2_AT;8;15:27.48;00:01:1024;Experiment;started;0
360;WH_A2_AT;8;15:27.56;00:09:9036;8_BarYellow;Correct placement;n/a
360;WH_A2_AT;8;15:27.56;00:09:9036;Step;completed;0
360;WH_A2_AT;8;15:28.00;00:13:13402;8_BarYellow;Inorrect placement;n/a
360;WH_A2_AT;8;15:28.00;00:13:13402;Step;completed;1
360;WH_A2_AT;8;15:28.04;00:17:17448;8_BarYellow;Inorrect placement;n/a
360;WH_A2_AT;8;15:28.04;00:17:17448;Step;completed;2
360;WH_A2_AT;8;15:28.09;00:21:21569;8_BarYellow;Inorrect placement;n/a
360;WH_A2_AT;8;15:28.09;00:21:21569;Step;completed;3
360;WH_A2_AT;8;15:28.15;00:27:27847;8_BarYellow;Inorrect placement;n/a
