Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
720;WA_A2_AT;1;12:13.43;00:01:1022;Experiment;started;0
720;WA_A2_AT;1;12:14.21;00:39:39008;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;1;12:14.21;00:39:39008;Step;completed;0
720;WA_A2_AT;1;12:14.35;00:52:52276;5_BarYellow;Incorrect placement;1
720;WA_A2_AT;1;12:14.50;01:07:67420;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;1;12:14.50;01:07:67420;Step;completed;1
720;WA_A2_AT;1;12:15.35;01:53:113020;8_BarYellow;Correct placement;n/a
720;WA_A2_AT;1;12:15.35;01:53:113020;Step;completed;2
720;WA_A2_AT;1;12:15.47;02:04:124743;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;1;12:15.47;02:04:124743;Step;completed;3
720;WA_A2_AT;1;12:15.51;02:08:128809;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;2;12:16.00;02:17:137582;Experiment;started;0
720;WA_A2_AT;2;12:20.06;06:23:383684;6_BarYellow;Incorrect placement;0
720;WA_A2_AT;2;12:22.19;08:36:516279;6_BarYellow;Incorrect placement;0
720;WA_A2_AT;2;12:23.08;09:24:564601;6_BarYellow;Incorrect placement;0
720;WA_A2_AT;2;12:24.06;10:22:622790;5_BarYellow;Incorrect placement;0
720;WA_A2_AT;2;12:26.04;12:20:740444;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;2;12:26.04;12:20:740444;Step;completed;0
720;WA_A2_AT;2;12:26.46;13:02:782637;5_BarYellow;Incorrect placement;1
720;WA_A2_AT;2;12:26.53;13:09:789748;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;2;12:26.53;13:09:789748;Step;completed;1
720;WA_A2_AT;2;12:28.29;14:45:885369;8_BarYellow;Correct placement;n/a
720;WA_A2_AT;2;12:28.29;14:45:885369;Step;completed;2
720;WA_A2_AT;2;12:28.47;15:03:903936;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;2;12:28.47;15:03:903936;Step;completed;3
720;WA_A2_AT;2;12:29.23;15:39:939757;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;3;12:29.28;15:44:944175;Experiment;started;0
720;WA_A2_AT;3;12:32.29;18:45:1125464;5_BarYellow;Incorrect placement;0
720;WA_A2_AT;3;12:32.44;18:59:1139962;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;3;12:32.44;18:59:1139962;Step;completed;0
720;WA_A2_AT;3;12:32.59;19:15:1155199;5_BarYellow;Incorrect placement;1
720;WA_A2_AT;3;12:33.11;19:26:1166572;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;3;12:33.11;19:26:1166572;Step;completed;1
720;WA_A2_AT;3;12:33.41;19:57:1197169;8_BarYellow;Correct placement;n/a
720;WA_A2_AT;3;12:33.41;19:57:1197169;Step;completed;2
720;WA_A2_AT;3;12:34.06;20:22:1222196;4_BarYellow;Incorrect placement;3
720;WA_A2_AT;3;12:34.41;20:56:1256588;5_BarYellow;Incorrect placement;3
720;WA_A2_AT;3;12:34.51;21:06:1266636;5_BarYellow;Incorrect placement;3
720;WA_A2_AT;3;12:35.11;21:27:1287519;5_BarYellow;Incorrect placement;3
720;WA_A2_AT;3;12:35.21;21:36:1296840;5_BarYellow;Incorrect placement;3
720;WA_A2_AT;3;12:35.40;21:56:1316440;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;3;12:35.40;21:56:1316440;Step;completed;3
720;WA_A2_AT;3;12:36.18;22:34:1354399;5_BarYellow;Incorrect placement;4
720;WA_A2_AT;3;12:36.26;22:41:1361772;5_BarYellow;Incorrect placement;4
720;WA_A2_AT;3;12:36.32;22:48:1368110;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;4;12:36.40;22:55:1375704;Experiment;started;0
720;WA_A2_AT;4;12:37.05;23:20:1400636;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;4;12:37.05;23:20:1400636;Step;completed;0
720;WA_A2_AT;4;12:37.11;23:26:1406369;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;4;12:37.11;23:26:1406369;Step;completed;1
720;WA_A2_AT;4;12:37.21;23:36:1416783;8_BarYellow;Correct placement;n/a
720;WA_A2_AT;4;12:37.21;23:36:1416783;Step;completed;2
720;WA_A2_AT;4;12:37.29;23:45:1425014;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;4;12:37.29;23:45:1425014;Step;completed;3
720;WA_A2_AT;4;12:37.34;23:49:1429515;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;5;12:37.38;23:53:1433426;Experiment;started;0
720;WA_A2_AT;5;12:38.34;24:49:1489017;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;5;12:38.34;24:49:1489017;Step;completed;0
720;WA_A2_AT;5;12:38.40;24:54:1494786;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;5;12:38.40;24:54:1494786;Step;completed;1
720;WA_A2_AT;5;12:38.56;25:10:1510953;8_BarYellow;Correct placement;n/a
720;WA_A2_AT;5;12:38.56;25:10:1510953;Step;completed;2
720;WA_A2_AT;5;12:39.06;25:20:1520969;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;5;12:39.06;25:20:1520969;Step;completed;3
720;WA_A2_AT;5;12:39.11;25:26:1526393;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;6;12:39.17;25:31:1531711;Experiment;started;0
720;WA_A2_AT;6;12:39.41;25:55:1555740;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;6;12:39.41;25:55:1555740;Step;completed;0
720;WA_A2_AT;6;12:39.45;25:59:1559493;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;6;12:39.45;25:59:1559493;Step;completed;1
720;WA_A2_AT;6;12:39.58;26:12:1572890;8_BarYellow;Correct placement;n/a
720;WA_A2_AT;6;12:39.58;26:12:1572890;Step;completed;2
720;WA_A2_AT;6;12:40.16;26:30:1590797;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;6;12:40.16;26:30:1590797;Step;completed;3
720;WA_A2_AT;6;12:40.23;26:37:1597693;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;8;12:40.37;26:51:1611208;Experiment;started;0
720;WA_A2_AT;8;12:40.51;27:05:1625057;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;8;12:40.51;27:05:1625057;Step;completed;0
720;WA_A2_AT;8;12:40.55;27:09:1629311;5_BarYellow;Correct placement;n/a
720;WA_A2_AT;8;12:40.55;27:09:1629311;Step;completed;1
720;WA_A2_AT;8;12:41.03;27:17:1637532;8_BarYellow;Inorrect placement;n/a
720;WA_A2_AT;8;12:41.03;27:17:1637532;Step;completed;2
720;WA_A2_AT;8;12:41.17;27:31:1651185;5_BarYellow;Inorrect placement;n/a
720;WA_A2_AT;8;12:41.17;27:31:1651185;Step;completed;3
720;WA_A2_AT;8;12:41.21;27:35:1655140;5_BarYellow;Correct placement;n/a
720;WB_A2_AT;1;12:41.54;28:07:1687030;Experiment;started;0
720;WB_A2_AT;1;12:42.13;28:26:1706710;5_BarYellow;Correct placement;n/a
720;WB_A2_AT;1;12:42.13;28:26:1706710;Step;completed;0
