Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
3870;WA_A2_AT;135717_58;1.029276;Experiment;started;0
3870;WA_A2_AT;135725_48;8.928272;5_BarYellow;Correct placement;n/a
3870;WA_A2_AT;135725_48;8.928272;Step;completed;0
3870;WA_A2_AT;135729_82;13.27839;5_BarYellow;Correct placement;n/a
3870;WA_A2_AT;135729_83;13.27839;Step;completed;1
3870;WA_A2_AT;135737_46;20.90692;8_BarYellow;Correct placement;n/a
3870;WA_A2_AT;135737_46;20.90692;Step;completed;2
3870;WA_A2_AT;135741_84;25.28402;5_BarYellow;Incorrect placement;3
