Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
743;sceneName;n/a;n/a;1;13:45.20;00:01:1030;Experiment;started;0
743;sceneName;n/a;n/a;1;13:45.33;00:14:14041;5_BarYellow;Correct placement;0
743;sceneName;n/a;n/a;1;13:45.39;00:20:20441;5_BarBlue;Correct placement;1
743;sceneName;n/a;n/a;1;13:45.51;00:31:31875;8_BarYellow;Correct placement;2
743;sceneName;n/a;n/a;1;13:46.02;00:42:42854;5_BarYellow;Incorrect placement;3
743;sceneName;n/a;n/a;1;13:46.06;00:47:47052;5_BarYellow;Correct placement;3
743;sceneName;n/a;n/a;1;13:46.10;00:50:50998;5_BarYellow;Correct placement;4
743;sceneName;n/a;n/a;1;13:46.10;00:50:50998;Trial;complete;4
743;sceneName;n/a;n/a;2;13:46.14;00:54:54457;Experiment;started;0
743;sceneName;n/a;n/a;2;13:46.19;00:59:59457;5_BarYellow;Correct placement;0
743;sceneName;n/a;n/a;2;13:46.21;01:01:61571;5_BarYellow;Correct placement;1
743;sceneName;n/a;n/a;2;13:46.27;01:07:67926;8_BarYellow;Correct placement;2
743;sceneName;n/a;n/a;2;13:46.29;01:09:69736;5_BarYellow;Correct placement;3
743;sceneName;n/a;n/a;2;13:46.30;01:11:71114;5_BarYellow;Correct placement;4
743;sceneName;n/a;n/a;2;13:46.30;01:11:71114;Trial;complete;4
743;sceneName;n/a;n/a;3;13:46.33;01:13:73721;Experiment;started;0
743;sceneName;n/a;n/a;3;13:46.38;01:18:78912;5_BarYellow;Correct placement;0
743;sceneName;n/a;n/a;3;13:46.40;01:20:80867;5_BarYellow;Incorrect placement;1
743;sceneName;n/a;n/a;3;13:46.43;01:23:83956;5_BarYellow;Correct placement;1
743;sceneName;n/a;n/a;3;13:46.46;01:26:86767;8_BarYellow;Correct placement;2
743;sceneName;n/a;n/a;3;13:46.48;01:28:88444;5_BarYellow;Correct placement;3
743;sceneName;n/a;n/a;3;13:46.49;01:29:89956;5_BarYellow;Correct placement;4
743;sceneName;n/a;n/a;3;13:46.49;01:29:89956;Trial;complete;4
743;sceneName;n/a;n/a;4;13:46.52;01:32:92188;Experiment;started;0
743;sceneName;n/a;n/a;4;13:46.54;01:34:94556;5_BarYellow;Correct placement;0
743;sceneName;n/a;n/a;4;13:46.56;01:36:96645;5_BarYellow;Correct placement;1
743;sceneName;n/a;n/a;4;13:46.58;01:38:98833;8_BarYellow;Correct placement;2
743;sceneName;n/a;n/a;4;13:47.00;01:40:100278;5_BarYellow;Correct placement;3
743;sceneName;n/a;n/a;4;13:47.01;01:41:101823;5_BarYellow;Correct placement;4
743;sceneName;n/a;n/a;4;13:47.01;01:41:101823;Trial;complete;4
743;sceneName;n/a;n/a;5;13:47.04;01:44:104086;Experiment;started;0
743;sceneName;n/a;n/a;5;13:47.06;01:46:106631;5_BarYellow;Correct placement;0
743;sceneName;n/a;n/a;5;13:47.08;01:48:108776;5_BarYellow;Correct placement;1
743;sceneName;n/a;n/a;5;13:47.11;01:51:111409;8_BarYellow;Correct placement;2
743;sceneName;n/a;n/a;5;13:47.13;01:53:113087;5_BarYellow;Correct placement;3
743;sceneName;n/a;n/a;5;13:47.14;01:54:114875;5_BarYellow;Correct placement;4
743;sceneName;n/a;n/a;5;13:47.14;01:54:114875;Trial;complete;4
743;sceneName;n/a;n/a;6;13:47.17;01:57:117182;Experiment;started;0
743;sceneName;n/a;n/a;6;13:47.19;01:58:118917;5_BarYellow;Correct placement;0
743;sceneName;n/a;n/a;6;13:47.20;02:00:120696;5_BarYellow;Correct placement;1
743;sceneName;n/a;n/a;6;13:47.22;02:02:122684;8_BarYellow;Correct placement;2
743;sceneName;n/a;n/a;6;13:47.24;02:04:124117;5_BarYellow;Correct placement;3
743;sceneName;n/a;n/a;6;13:47.26;02:05:125739;5_BarYellow;Correct placement;4
743;sceneName;n/a;n/a;6;13:47.26;02:05:125739;Trial;complete;4
743;sceneName;n/a;n/a;8;13:47.32;02:12:132337;Experiment;started;0
