Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
3402;WE_A2_AT;104340_64;1.020805;Experiment;started;0
3402;WE_A2_AT;104358_06;18.42484;8_BarYellow;Incorrect placement;0
3402;WE_A2_AT;104401_09;21.44486;8_BarYellow;Correct placement;n/a
3402;WE_A2_AT;104401_09;21.44486;Step;completed;0
3402;WE_A2_AT;104406_66;27.02546;8_BarYellow;Incorrect placement;1
3402;WE_A2_AT;104409_93;30.2986;8_BarYellow;Incorrect placement;1
3402;WE_A2_AT;104413_30;33.66256;8_BarYellow;Correct placement;n/a
3402;WE_A2_AT;104413_30;33.66256;Step;completed;1
3402;WE_A2_AT;104419_42;39.78793;8_BarYellow;Correct placement;n/a
3402;WE_A2_AT;104419_42;39.78793;Step;completed;2
3402;WE_A2_AT;104424_46;44.82266;8_BarYellow;Correct placement;n/a
3402;WE_A2_AT;104424_46;44.82266;Step;completed;3
3402;WE_A2_AT;104429_52;49.87947;8_BarYellow;Correct placement;n/a
