Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
7115;WA_A2_AT;140722_65;1.02203;Experiment;started;0
7115;WA_A2_AT;140734_75;13.1073;7_BarYellow;Incorrect placement;0
7115;WA_A2_AT;140740_99;19.34039;5_BarYellow;Correct placement;n/a
7115;WA_A2_AT;140740_99;19.34039;Step;completed;0
7115;WA_A2_AT;140745_99;24.35197;5_BarYellow;Correct placement;n/a
7115;WA_A2_AT;140745_99;24.35197;Step;completed;1
7115;WA_A2_AT;140750_53;28.8858;8_BarYellow;Correct placement;n/a
7115;WA_A2_AT;140750_53;28.8858;Step;completed;2
7115;WA_A2_AT;140758_74;37.09621;5_BarYellow;Incorrect placement;3
