Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
9134;PracticeTask;155555_51;1.020372;Experiment;started;0
9134;PracticeTask;155616_42;21.92439;3_BarYellow;Correct placement;n/a
9134;PracticeTask;155616_42;21.92439;Step;completed;0
9134;PracticeTask;155630_27;35.78016;3_BarYellow;Correct placement;n/a
9134;PracticeTask;155630_27;35.78016;Step;completed;1
9134;PracticeTask;155637_92;43.42065;3_BarYellow;Incorrect placement;2
9134;PracticeTask;155643_48;48.98851;4_BarYellow;Incorrect placement;2
9134;PracticeTask;155647_46;52.9643;4_BarYellow;Incorrect placement;2
9134;PracticeTask;155651_64;57.15291;4_BarYellow;Incorrect placement;2
