Participant_Number;Scene;Trial;Timestamp;Time_s;Category;Action;Step
294;WC_A2_AT;1;15:40.05;00:01:1029;Experiment;started;0
294;WC_A2_AT;1;15:40.10;00:05:5930;3_ BarYellow;Correct placement;n/a
294;WC_A2_AT;1;15:40.10;00:05:5930;Step;completed;0
294;WC_A2_AT;1;15:40.12;00:07:7953;3_ BarYellow;Correct placement;n/a
294;WC_A2_AT;1;15:40.12;00:07:7953;Step;completed;1
294;WC_A2_AT;1;15:40.14;00:09:9730;3_ BarYellow;Incorrect placement;2
294;WC_A2_AT;1;15:40.16;00:12:12530;3_ BarYellow;Correct placement;n/a
294;WC_A2_AT;1;15:40.16;00:12:12530;Step;completed;2
294;WC_A2_AT;1;15:40.22;00:18:18365;5_BarYellow;Correct placement;n/a
294;WC_A2_AT;1;15:40.22;00:18:18365;Step;completed;3
294;WC_A2_AT;1;15:40.30;00:25:25775;5_BarYellow;Incorrect placement;4
294;WC_A2_AT;1;15:40.35;00:31:31398;5_BarYellow;Correct placement;n/a
