Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
5985;WA_A2_AT;140912_35;1.023481;Experiment;started;0
5985;WA_A2_AT;140934_21;20.78913;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;140934_21;20.78913;Step;completed;0
5985;WA_A2_AT;140937_74;24.33405;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;140937_74;24.33405;Step;completed;1
5985;WA_A2_AT;140942_36;28.94321;8_BarYellow;Correct placement;n/a
5985;WA_A2_AT;140942_36;28.94321;Step;completed;2
5985;WA_A2_AT;140948_14;34.73281;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;140948_14;34.73281;Step;completed;3
5985;WA_A2_AT;140953_71;40.2986;5_BarYellow;Incorrect placement;4
5985;WA_A2_AT;140957_01;43.59882;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141000_58;46.76289;Experiment;started;0
5985;WA_A2_AT;141004_93;51.11161;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141004_93;51.11161;Step;completed;0
5985;WA_A2_AT;141009_21;55.39046;5_BarYellow;Incorrect placement;1
5985;WA_A2_AT;141013_22;59.39925;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141013_22;59.39925;Step;completed;1
5985;WA_A2_AT;141017_87;64.04279;8_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141017_87;64.04279;Step;completed;2
5985;WA_A2_AT;141022_49;68.66688;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141022_49;68.66688;Step;completed;3
5985;WA_A2_AT;141029_36;75.53321;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141032_60;78.38885;Experiment;started;0
5985;WA_A2_AT;141036_26;82.04611;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141036_26;82.04611;Step;completed;0
5985;WA_A2_AT;141040_47;86.25651;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141040_47;86.25651;Step;completed;1
5985;WA_A2_AT;141043_97;89.75569;8_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141043_97;89.75569;Step;completed;2
5985;WA_A2_AT;141048_94;94.7338;5_BarYellow;Incorrect placement;3
5985;WA_A2_AT;141056_17;101.9534;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141056_17;101.9534;Step;completed;3
5985;WA_A2_AT;141101_21;106.9994;5_BarYellow;Incorrect placement;4
5985;WA_A2_AT;141108_06;113.8558;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141111_93;117.42;Experiment;started;0
5985;WA_A2_AT;141115_44;120.9299;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141115_44;120.9299;Step;completed;0
5985;WA_A2_AT;141120_05;125.5415;4_BarYellow;Incorrect placement;1
5985;WA_A2_AT;141127_37;132.8533;5_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141127_37;132.8533;Step;completed;1
5985;WA_A2_AT;141131_61;137.0974;7_BarYellow;Correct placement;n/a
5985;WA_A2_AT;141131_61;137.0974;Step;completed;2
