Participant_Number;Shape;Condition;Adaptivity;Trial;Timestamp;Time_s;Category;Action;Step
985;sceneName;n/a;n/a;1;09:51.43;00:01:1023;Experiment;started;0
985;sceneName;n/a;n/a;1;09:51.53;00:10:10114;3_ BarYellow;Correct placement;n/a
985;sceneName;n/a;n/a;1;09:51.59;00:16:16211;4_BarYellow;Correct placement;n/a
985;sceneName;n/a;n/a;1;09:52.04;00:21:21657;5_BarYellow;Correct placement;n/a
985;sceneName;n/a;n/a;1;09:52.09;00:26:26212;6_BarYellow;Correct placement;n/a
985;sceneName;n/a;n/a;1;09:52.13;00:30:30879;7_BarYellow;Correct placement;n/a
985;sceneName;n/a;n/a;1;09:52.13;00:30:30879;Trial;complete;4
