Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
6402;WG_A2_AT;135622_29;1.026513;Experiment;started;0
6402;WG_A2_AT;135634_93;13.66013;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135634_93;13.66013;Step;completed;0
6402;WG_A2_AT;135640_64;19.372;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135640_64;19.372;Step;completed;1
6402;WG_A2_AT;135651_90;30.63872;3_ BarYellow;Correct placement;n/a
6402;WG_A2_AT;135651_90;30.63872;Step;completed;2
6402;WG_A2_AT;135706_78;45.51719;3_ BarYellow;Correct placement;n/a
6402;WG_A2_AT;135706_78;45.51719;Step;completed;3
6402;WG_A2_AT;135716_06;54.79337;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135719_69;58.14201;Experiment;started;0
6402;WG_A2_AT;135727_62;66.07584;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135727_62;66.07584;Step;completed;0
6402;WG_A2_AT;135731_56;70.00957;5_BarYellow;Incorrect placement;1
6402;WG_A2_AT;135734_97;73.42015;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135734_97;73.42015;Step;completed;1
6402;WG_A2_AT;135739_60;78.05246;3_ BarYellow;Correct placement;n/a
6402;WG_A2_AT;135739_60;78.05246;Step;completed;2
6402;WG_A2_AT;135743_41;81.86958;3_ BarYellow;Correct placement;n/a
6402;WG_A2_AT;135743_41;81.86958;Step;completed;3
6402;WG_A2_AT;135747_15;85.59779;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135750_20;88.35522;Experiment;started;0
6402;WG_A2_AT;135758_47;96.62458;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135758_47;96.62458;Step;completed;0
6402;WG_A2_AT;135802_42;100.5797;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135802_42;100.5797;Step;completed;1
6402;WG_A2_AT;135809_07;107.2243;3_ BarYellow;Incorrect placement;2
6402;WG_A2_AT;135812_58;110.7344;3_ BarYellow;Correct placement;n/a
6402;WG_A2_AT;135812_58;110.7344;Step;completed;2
6402;WG_A2_AT;135816_75;114.9041;3_ BarYellow;Correct placement;n/a
6402;WG_A2_AT;135816_75;114.9041;Step;completed;3
6402;WG_A2_AT;135819_97;118.1238;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135822_70;120.5638;Experiment;started;0
6402;WG_A2_AT;135827_08;124.9408;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135827_08;124.9408;Step;completed;0
6402;WG_A2_AT;135831_95;129.8093;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135831_95;129.8093;Step;completed;1
6402;WG_A2_AT;135835_32;133.1857;3_ BarYellow;Correct placement;n/a
6402;WG_A2_AT;135835_32;133.1857;Step;completed;2
6402;WG_A2_AT;135839_15;137.0085;3_ BarYellow;Incorrect placement;3
6402;WG_A2_AT;135846_14;143.9972;3_ BarYellow;Correct placement;n/a
6402;WG_A2_AT;135846_14;143.9972;Step;completed;3
6402;WG_A2_AT;135850_15;148.0079;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135853_22;150.7915;Experiment;started;0
6402;WG_A2_AT;135858_50;156.0703;6_BarYellow;Incorrect placement;0
6402;WG_A2_AT;135902_15;159.7145;6_BarYellow;Incorrect placement;0
6402;WG_A2_AT;135909_58;167.1491;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135909_58;167.1491;Step;completed;0
6402;WG_A2_AT;135914_87;172.4378;6_BarYellow;Incorrect placement;1
6402;WG_A2_AT;135920_76;178.3268;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135920_76;178.3268;Step;completed;1
6402;WG_A2_AT;135923_66;181.2263;3_ BarYellow;Correct placement;n/a
6402;WG_A2_AT;135923_66;181.2263;Step;completed;2
6402;WG_A2_AT;135927_07;184.6366;3_ BarYellow;Correct placement;n/a
6402;WG_A2_AT;135927_07;184.6366;Step;completed;3
6402;WG_A2_AT;135934_09;191.6591;6_BarYellow;Incorrect placement;4
6402;WG_A2_AT;135940_23;197.8043;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135943_12;200.3759;Experiment;started;0
6402;WG_A2_AT;135948_07;205.3208;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135948_07;205.3208;Step;completed;0
6402;WG_A2_AT;135952_28;209.5331;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;135952_28;209.5331;Step;completed;1
6402;WG_A2_AT;135955_20;212.4555;3_ BarYellow;Correct placement;n/a
6402;WG_A2_AT;135955_20;212.4555;Step;completed;2
6402;WG_A2_AT;135959_26;216.5106;3_ BarYellow;Correct placement;n/a
6402;WG_A2_AT;135959_26;216.5106;Step;completed;3
6402;WG_A2_AT;140006_57;223.8236;5_BarYellow;Correct placement;n/a
6402;WG_A2_AT;140013_58;230.1319;Experiment;started;0
