Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
8255;WB_A2_AT;131917_32;1.029582;Experiment;started;0
8255;WB_A2_AT;131925_53;9.24049;5_BarYellow;Correct placement;n/a
8255;WB_A2_AT;131925_53;9.24049;Step;completed;0
8255;WB_A2_AT;131933_20;16.91359;5_BarYellow;Correct placement;n/a
8255;WB_A2_AT;131933_20;16.91359;Step;completed;1
8255;WB_A2_AT;131938_26;21.96998;5_BarYellow;Correct placement;n/a
8255;WB_A2_AT;131938_26;21.96998;Step;completed;2
8255;WB_A2_AT;131956_76;40.46929;8_BarYellow;Correct placement;n/a
8255;WB_A2_AT;131956_76;40.46929;Step;completed;3
8255;WB_A2_AT;132010_47;54.18226;6_BarYellow;Correct placement;n/a
8255;WB_A2_AT;132013_74;57.1901;Experiment;started;0
8255;WB_A2_AT;132016_58;60.01918;5_BarYellow;Incorrect placement;0
8255;WB_A2_AT;132019_62;63.06659;5_BarYellow;Incorrect placement;0
8255;WB_A2_AT;132022_64;66.08984;5_BarYellow;Correct placement;n/a
8255;WB_A2_AT;132022_65;66.08984;Step;completed;0
8255;WB_A2_AT;132026_51;69.95441;5_BarYellow;Correct placement;n/a
8255;WB_A2_AT;132026_51;69.95441;Step;completed;1
8255;WB_A2_AT;132030_60;74.0417;5_BarYellow;Correct placement;n/a
8255;WB_A2_AT;132030_60;74.0417;Step;completed;2
8255;WB_A2_AT;132035_39;78.83287;8_BarYellow;Incorrect placement;3
8255;WB_A2_AT;132041_08;84.52315;8_BarYellow;Correct placement;n/a
8255;WB_A2_AT;132041_08;84.52315;Step;completed;3
8255;WB_A2_AT;132049_28;92.72179;6_BarYellow;Correct placement;n/a
