Participant_Number;Scene;Timestamp;Time_s;Category;Action;Step
9294;WC_A2_AT;132955_67;1.028913;Experiment;started;0
9294;WC_A2_AT;133039_26;44.61353;3_ BarYellow;Correct placement;n/a
9294;WC_A2_AT;133039_26;44.61353;Step;completed;0
9294;WC_A2_AT;133042_79;48.15403;3_ BarYellow;Incorrect placement;1
9294;WC_A2_AT;133048_43;53.7892;3_ BarYellow;Correct placement;n/a
9294;WC_A2_AT;133048_43;53.7892;Step;completed;1
9294;WC_A2_AT;133057_84;63.20099;3_ BarYellow;Correct placement;n/a
9294;WC_A2_AT;133057_84;63.20099;Step;completed;2
9294;WC_A2_AT;133116_17;81.52596;5_BarYellow;Correct placement;n/a
9294;WC_A2_AT;133116_17;81.52596;Step;completed;3
9294;WC_A2_AT;133126_47;91.82986;5_BarYellow;Correct placement;n/a
